store_name,full_address,city,state,zip,latitude,longitude
Dada Market,"1606 Sunset Blvd, Los Angeles, CA 90026",Los Angeles,CA,90026,34.0767645,-118.2575675
Whole Foods Market,"2520 Glendale Blvd, Los Angeles, CA 90039",Los Angeles,CA,90039,34.1029139,-118.2584416
Whole Foods Market,"788 S Grand Ave, Los Angeles, CA 90017",Los Angeles,CA,90017,34.0458779,-118.2576698
The Liquor Fountain,"5203 Fountain Ave Ste A, Los Angeles, CA 90029",Los Angeles,CA,90029,34.0952724,-118.3025386
Glassell General,"3383 Verdugo Rd, Los Angeles, CA 90065",Los Angeles,CA,90065,34.1134004,-118.2355173
Tommie Hollywood,"6516 Selma Ave, Los Angeles, CA 90028",Los Angeles,CA,90028,34.0994391,-118.3318892
Whitley,"1900 N Highland Ave Ste 6, Los Angeles, CA 90068",Los Angeles,CA,90068,34.1055930,-118.3369850
Total Wine & More,"1130 N La Brea Ave, Los Angeles, CA 90038",Los Angeles,CA,90038,34.0912120,-118.3439368
Kearns Market,"7300 Beverly Blvd, Los Angeles, CA 90036",Los Angeles,CA,90036,34.0760680,-118.3487830
Fresco Community Market,"5914 Monterey Rd, Los Angeles, CA 90042",Los Angeles,CA,90042,34.1046843,-118.1845639
Total Wine & More,"221 N Glendale Ave, Glendale, CA 91206",Glendale,CA,91206,34.1486119,-118.2463549
Whole Foods Market,"331 N Glendale Ave, Glendale, CA 91206",Glendale,CA,91206,34.1510246,-118.2459778
Cork Runner Wine and Spirits,"5956 W Olympic Blvd, Los Angeles, CA 90036",Los Angeles,CA,90036,34.0576735,-118.3612782
Palihouse West Hollywood,"8384 W 3rd St, Los Angeles, CA 90048",Los Angeles,CA,90048,34.0727216,-118.3728267
Whole Foods Market,"3401 W Olive Ave, Burbank, CA 91505",Burbank,CA,91505,34.1541437,-118.3372797
Whole Foods Market,"3377 S La Cienega Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,34.0269641,-118.3721575
Total Wine & More,"9527 W Pico Blvd, Los Angeles, CA 90035",Los Angeles,CA,90035,34.0551612,-118.3962386
Heavy Handed,"11838 Ventura Blvd, Studio City, CA 91604",Studio City,CA,91604,34.1422893,-118.3905430
Jackson Market,"4065 Jackson Ave, Culver City, CA 90232",Culver City,CA,90232,34.0172173,-118.3971584
Total Wine & More,"721 E Colorado Blvd, Pasadena, CA 91101",Pasadena,CA,91101,34.1462840,-118.1355280
SoFi Stadium,"1001 Stadium Dr, Inglewood, CA 90303",Inglewood,CA,90303,33.9484962,-118.3372867
Total Wine & More,"11441 Jefferson Blvd, Culver City, CA 90230",Culver City,CA,90230,33.9892952,-118.3969340
Signature Wines & Spirits,"2717 Ocean Park Blvd, Santa Monica, CA 90405",Santa Monica,CA,90405,34.0177900,-118.4576957
Whole Foods Market,"225 S Lincoln Blvd, Venice, CA 90292",Venice,CA,90292,33.9941954,-118.4530049
Alans Market,"339 Washington Blvd, Marina Del Rey, CA 90292",Marina Del Rey,CA,90292,33.9811393,-118.4638162
Rustic Canyon,"1119 Wilshire Blvd, Santa Monica, CA 90025",Santa Monica,CA,90025,34.0250418,-118.4913256
Haques,"2225 4th St, Santa Monica, CA 90405",Santa Monica,CA,90405,34.0076133,-118.4849603
Heavy Handed,"2912 Main St, Santa Monica, CA 90291",Santa Monica,CA,90291,33.9991381,-118.4810129
Proper Hotel,"700 Wilshire Blvd, Santa Monica, CA 90025",Santa Monica,CA,90025,34.0213930,-118.4951018
Total Wine & More,"1505 Hawthorne Blvd, Redondo Beach, CA 90278",Redondo Beach,CA,90278,33.8678378,-118.3539437
Manhattan Beach Market,"1111 Manhattan Ave, Manhattan Beach, CA 90266",Manhattan Beach,CA,90266,33.8842201,-118.4107360
Total Wine & More,"19336 Nordhoff St, Northridge, CA 91324",Northridge,CA,91324,34.2354010,-118.5540613
Whole Foods Market,"21347 Ventura Blvd, Woodland Hills, CA 91364",Woodland Hills,CA,91364,34.1680978,-118.5970021
Whole Foods Market,"6232 Topanga Canyon Blvd Ste 1380, Woodland Hills, CA 91367",Woodland Hills,CA,91367,34.1798644,-118.6056500
Whole Foods Market,"2029 Rinaldi St, Porter Ranch, CA 91326",Porter Ranch,CA,91326,34.2755821,-118.5487180
Whole Foods Market,"6400 E Pacific Coast Hwy Ste A 100, Long Beach, CA 90803",Long Beach,CA,90803,33.7588383,-118.1117616
Whole Foods Market,"23401 Civic Center Way, Malibu, CA 90265",Malibu,CA,90265,34.0384904,-118.6864043
Total Wine & More,"471 S Associated Rd, Brea, CA 92821",Brea,CA,92821,33.9120237,-117.8820434
