brand,store_name,full_address,city,state,zip,latitude,longitude
Nomadica,Dada Market,"1606 Sunset Blvd, Los Angeles, CA 90026",Los Angeles,CA,90026,34.0767645,-118.2575675
Nomadica,The Liquor Fountain,"5203 Fountain Ave Ste A, Los Angeles, CA 90029",Los Angeles,CA,90029,34.0952724,-118.3025386
Nomadica,Glassell General,"3383 Verdugo Rd, Los Angeles, CA 90065",Los Angeles,CA,90065,34.1134004,-118.2355173
Nomadica,Tommie Hollywood,"6516 Selma Ave, Los Angeles, CA 90028",Los Angeles,CA,90028,34.0994391,-118.3318892
Nomadica,Whitley,"1900 N Highland Ave Ste 6, Los Angeles, CA 90068",Los Angeles,CA,90068,34.1055930,-118.3369850
Nomadica,Total Wine & More,"1130 N La Brea Ave, Los Angeles, CA 90038",Los Angeles,CA,90038,34.0912120,-118.3439368
Nomadica,Kearns Market,"7300 Beverly Blvd, Los Angeles, CA 90036",Los Angeles,CA,90036,34.0760680,-118.3487830
Nomadica,Fresco Community Market,"5914 Monterey Rd, Los Angeles, CA 90042",Los Angeles,CA,90042,34.1046843,-118.1845639
Nomadica,Total Wine & More,"221 N Glendale Ave, Glendale, CA 91206",Glendale,CA,91206,34.1486119,-118.2463549
Nomadica,Cork Runner Wine and Spirits,"5956 W Olympic Blvd, Los Angeles, CA 90036",Los Angeles,CA,90036,34.0576735,-118.3612782
Nomadica,Palihouse West Hollywood,"8384 W 3rd St, Los Angeles, CA 90048",Los Angeles,CA,90048,34.0727216,-118.3728267
Nomadica,Total Wine & More,"9527 W Pico Blvd, Los Angeles, CA 90035",Los Angeles,CA,90035,34.0551612,-118.3962386
Nomadica,Heavy Handed,"11838 Ventura Blvd, Studio City, CA 91604",Studio City,CA,91604,34.1422893,-118.3905430
Nomadica,Jackson Market,"4065 Jackson Ave, Culver City, CA 90232",Culver City,CA,90232,34.0172173,-118.3971584
Nomadica,Total Wine & More,"721 E Colorado Blvd, Pasadena, CA 91101",Pasadena,CA,91101,34.1462840,-118.1355280
Nomadica,SoFi Stadium,"1001 Stadium Dr, Inglewood, CA 90303",Inglewood,CA,90303,33.9484962,-118.3372867
Nomadica,Total Wine & More,"11441 Jefferson Blvd, Culver City, CA 90230",Culver City,CA,90230,33.9892952,-118.3969340
Nomadica,Signature Wines & Spirits,"2717 Ocean Park Blvd, Santa Monica, CA 90405",Santa Monica,CA,90405,34.0177900,-118.4576957
Nomadica,Alans Market,"339 Washington Blvd, Marina Del Rey, CA 90292",Marina Del Rey,CA,90292,33.9811393,-118.4638162
Nomadica,Rustic Canyon,"1119 Wilshire Blvd, Santa Monica, CA 90025",Santa Monica,CA,90025,34.0250418,-118.4913256
Nomadica,Haques,"2225 4th St, Santa Monica, CA 90405",Santa Monica,CA,90405,34.0076133,-118.4849603
Nomadica,Heavy Handed,"2912 Main St, Santa Monica, CA 90291",Santa Monica,CA,90291,33.9991381,-118.4810129
Nomadica,Proper Hotel,"700 Wilshire Blvd, Santa Monica, CA 90025",Santa Monica,CA,90025,34.0213930,-118.4951018
Nomadica,Total Wine & More,"1505 Hawthorne Blvd, Redondo Beach, CA 90278",Redondo Beach,CA,90278,33.8678378,-118.3539437
Nomadica,Manhattan Beach Market,"1111 Manhattan Ave, Manhattan Beach, CA 90266",Manhattan Beach,CA,90266,33.8842201,-118.4107360
Nomadica,Total Wine & More,"19336 Nordhoff St, Northridge, CA 91324",Northridge,CA,91324,34.2354010,-118.5540613
Nomadica,Total Wine & More,"471 S Associated Rd, Brea, CA 92821",Brea,CA,92821,33.9120237,-117.8820434
Jumbo Time,Domaine LA,"Domaine Street, Rosemead, Los Angeles County, California, 91770",Rosemead,CA,91770,34.0899102,-118.0756054
Jumbo Time,Psychic Wines,"Psychic Wines, 2825, Bellevue Avenue, Historic Filipinotown, Westlake",Los Angeles,CA,90026,34.0768976,-118.2754572
Jumbo Time,Dudley Market,"Dudley Market, 9, Dudley Avenue, Venice, Los Angeles",Los Angeles,CA,90291,33.9942337,-118.4796143
Jumbo Time,Broad Street Oyster,"Broad Street Oyster, Pacific Coast Highway, Malibu Beach, Malibu, Los Angeles County",Malibu,CA,90263,34.0355512,-118.6838838
Jumbo Time,Great White (Venice),"Great White, Windward Avenue, Venice, Los Angeles, Los Angeles County",Los Angeles,CA,90291,33.9877236,-118.4717820
Jumbo Time,Great White (Larchmont),"Prado's, 244, North Larchmont Boulevard, Windsor Square, Koreatown",Los Angeles,CA,90004,34.0757609,-118.3233949
Jumbo Time,Helen's Wine (Fairfax),"Helen's Wine Shop, North Fairfax Avenue, Fairfax, Los Angeles, Los Angeles County",Los Angeles,CA,90046,34.0786526,-118.3612803
Jumbo Time,Alma's,"South Alma Street, San Pedro, Los Angeles, Los Angeles County, California",Los Angeles,CA,90731,33.7242940,-118.2990375
Jumbo Time,Sqirl,"Sqirl, 720, North Virgil Avenue, Virgil Village, East Hollywood",Los Angeles,CA,90029,34.0845162,-118.2866953
Jumbo Time,Croft Alley,"Croft Alley, 9433, Brighton Way, Golden Triange, Beverly Hills",Beverly Hills,CA,90210,34.0702682,-118.4016713
Jumbo Time,Joan's On Third (West Hollywood),"Joan's on Third, West 3rd Street, Beverly Grove, Los Angeles, Los Angeles County",Los Angeles,CA,90048,34.0728064,-118.3717805
Jumbo Time,Botanica,"Botanica Restaurant & Market, 1620, Silver Lake Boulevard, Silver Lake, Echo Park",Los Angeles,CA,90026,34.0884930,-118.2689001
Jumbo Time,Cafe Stella,"Cafe Stella, 3932, West Sunset Boulevard, Sunset Junction, Silver Lake",Los Angeles,CA,90029,34.0921527,-118.2804496
Jumbo Time,Hi-Lo Market (Culver City),"Hi-Lo Liquor Market, 8582, Washington Boulevard, Culver City Arts District, Culver City",Culver City,CA,90232,34.0302251,-118.3812172
Jumbo Time,Fatty Mart,"Fatty Mart, 12210, Venice Boulevard, Mar Vista, Los Angeles",Los Angeles,CA,90066,34.0045434,-118.4314645
Jumbo Time,Kamp,"Kamp, 3333, West Sunset Boulevard, Silver Lake, Echo Park",Los Angeles,CA,90026,34.0874277,-118.2755787
Jumbo Time,Proudly Serving,"Proudly Serving, South Elena Avenue, Clifton, Redondo Beach, Los Angeles County",Redondo Beach,CA,90277,33.8193618,-118.3855600
Jumbo Time,Good Time Cafe,"Good Time, 1322, Coronado Avenue, Long Beach, Los Angeles County",Long Beach,CA,90804,33.7831817,-118.1533447
Jumbo Time,Crudo E Nudo,"Crudo e Nudo, Main Street, Ocean Park, Santa Monica, Los Angeles County",Santa Monica,CA,90291,34.0003541,-118.4821293
Jumbo Time,Thunderbolt,"Thunderbolt, 1255, West Temple Street, Angeleno Heights, Echo Park",Los Angeles,CA,90026,34.0665232,-118.2542208
Jumbo Time,Hatchet Hall,"Hatchet Hall, 12517, West Washington Boulevard, Culver City, Los Angeles County",Culver City,CA,90066,33.9970047,-118.4315691
Jumbo Time,Mission Wine & Spirits,"Mission Wine & Spirits (Woodland Hills), Platt Avenue, Woodland Hills-Warner Center Neighborhood Council District, Los Angeles, Los Angeles County",Los Angeles,CA,91304,34.1858787,-118.6432255
Jumbo Time,Art Du Vin,"Art Du Vin, East 4th Street, Long Beach, Los Angeles County, California",Long Beach,CA,90804,33.7718172,-118.1669422
Jumbo Time,Lou Wine Shop,"Lou Wine Shop, Hillhurst Avenue, Los Feliz Neighborhood Council District, Los Feliz, Los Angeles",Los Angeles,CA,90027,34.1058340,-118.2878230
Jumbo Time,Lady & Larder,"Lady & Larder, 828, Pico Boulevard, Santa Monica, Los Angeles County",Santa Monica,CA,90405,34.0126977,-118.4818904
Jumbo Time,Button Mash,"Button Mash, 1391, West Sunset Boulevard, Angeleno Heights, Echo Park",Los Angeles,CA,90026,34.0739777,-118.2515339
Jumbo Time,Malibu RV Park,"Hollywood RV Park Malibu Road, Hollywood RV Park, Lake Balboa Neighborhood Council District, Los Angeles, Los Angeles County",Los Angeles,CA,91406,34.2115149,-118.4985314
Jumbo Time,Heavy Handed,"Heavy Handed, 2912, Main Street, Ocean Park, Santa Monica",Santa Monica,CA,90291,33.9991381,-118.4810129
Jumbo Time,San Vicente Bungalows,"San Vicente Bungalows, 845, North San Vicente Boulevard, West Hollywood, Los Angeles County",West Hollywood,CA,90069,34.0858963,-118.3850183
Jumbo Time,Pinyon,"Pinyon Avenue, Tujunga, Los Angeles, Los Angeles County, California",Los Angeles,CA,91042,34.2591836,-118.2849260
Jumbo Time,Marvin,"Marvin Braude Mulholland Gateway Park, Los Angeles, Los Angeles County, California, United States",Los Angeles,CA,,34.1370514,-118.5748582
Jumbo Time,Prime Pizza (Santa Monica),"Prime Pizza, 18th Court, Santa Monica, Los Angeles County, California",Santa Monica,CA,90405,34.0186917,-118.4713610
Jumbo Time,Prime Pizza (El Segundo),"Prime Pizza, South Sepulveda Boulevard, El Segundo, Los Angeles County, California",El Segundo,CA,90245,33.9149657,-118.3955397
Jumbo Time,Prime Pizza (Burbank),"Prime Pizza, 603, North Hollywood Way, Burbank, Los Angeles County",Burbank,CA,91505,34.1610789,-118.3441687
Jumbo Time,Prime Pizza (Little Tokyo),"Prime Pizza, 141, South Central Avenue, Little Tokyo, Downtown",Los Angeles,CA,90012,34.0481744,-118.2394855
Jumbo Time,Buzz Wine & Beer Shop,"Buzz Wine Beer Shop, West 5th Street, Gallery Row, Historic Core, Downtown",Los Angeles,CA,90014,34.0473884,-118.2494040
Jumbo Time,Lingua Franca,"Lingua Franca, 2990, Allesandro Street, Elysian Valley, Los Angeles",Los Angeles,CA,90039,34.1056322,-118.2440236
Jumbo Time,Sara's Market,"Sara's Market, 3455, City Terrace Drive, East Los Angeles, Los Angeles County",,CA,90053,34.0525649,-118.1888260
Jumbo Time,El Prado,"El Prado Park, Torrance, Los Angeles County, California, United States",Torrance,CA,,33.8333823,-118.3179685
Jumbo Time,Stanley's Wet Goods,"Stanley's Wet Goods, Venice Boulevard, Palms, Los Angeles, Los Angeles County",Los Angeles,CA,90232,34.0245237,-118.3962395
Jumbo Time,Little Coyote,"Little Coyote, North Los Coyotes Diagonal, Long Beach, Los Angeles County, California",Long Beach,CA,90808,33.8198532,-118.1080654
Jumbo Time,Highly Likely,"Highly Likely, 4310, West Jefferson Boulevard, West Adams, Los Angeles",Los Angeles,CA,90016,34.0253025,-118.3433422
Jumbo Time,Gjusta Grocer,"Gjusta Grocer, Park Row, Venice, Los Angeles, Los Angeles County",Los Angeles,CA,90291,33.9879679,-118.4721051
Jumbo Time,Pink Dot,"Pink Dot, 8495, West Sunset Boulevard, Sunset Strip, West Hollywood",West Hollywood,CA,90069,34.0946948,-118.3762629
Jumbo Time,Prince Street Pizza,"Prince Street Pizza, 49, East Colorado Boulevard, Pasadena Council District 6, Pasadena",Pasadena,CA,91105,34.1460550,-118.1493772
Djuce,Chateau Marmont,"Chateau Marmont, 8221, West Sunset Boulevard, Sunset Strip, Los Angeles",Los Angeles,CA,90046,34.0982497,-118.3684049
Djuce,Venice Beach Wines,"Venice Beach Wines, Rose Avenue, Venice, Los Angeles, Los Angeles County",Los Angeles,CA,90291,33.9986965,-118.4731874
Djuce,Broad Street Oyster Co,"Broad Street Oyster, Pacific Coast Highway, Malibu Beach, Malibu, Los Angeles County",Malibu,CA,90263,34.0355512,-118.6838838
Djuce,Gold Line Bar,"Gold Line, 5607, North Figueroa Street, Highland Park, Los Angeles",Los Angeles,CA,90042,34.1091965,-118.1939586
Djuce,Gjusta Grocer,"Gjusta Grocer, Park Row, Venice, Los Angeles, Los Angeles County",Los Angeles,CA,90291,33.9879679,-118.4721051
Djuce,Highland Park Wine,"Highland Park Wine, North Figueroa Street, Highland Park, Los Angeles, Los Angeles County",Los Angeles,CA,90042,34.1100895,-118.1913205
Djuce,Flask and Field,"767 S Alameda St #180, Los Angeles, CA 90021",Los Angeles,CA,90021,34.03455576,-118.24091937
Djuce,Sip Snack,"5003 York Blvd, Los Angeles, CA 90042",Los Angeles,CA,90042,34.1215208,-118.2066786
Djuce,Maison Fox,"532 W Commonwealth Ave Suite B, Fullerton, CA 92832",Fullerton,CA,92832,33.8700785,-117.9346265
Veranda,Handy Market,"Handy Market, 2514, West Magnolia Boulevard, Burbank, Los Angeles County",Burbank,CA,91505,34.1716194,-118.3352506
